epoch,loss,mae,rmse,val_loss,val_mae,val_rmse
76,6242146816.0,60880.5859375,79007.2578125,6188916224.0,61877.82421875,78669.6640625
77,6234117120.0,60899.9453125,78956.421875,6191172608.0,62411.78125,78684.0078125
78,6225823232.0,60829.20703125,78903.8828125,6168729600.0,61303.734375,78541.2578125
79,6226067968.0,60854.16796875,78905.4375,6216077824.0,62969.69921875,78842.109375
80,6240937984.0,60986.40625,78999.609375,6181387776.0,62087.96484375,78621.8046875
81,6235067904.0,60812.45703125,78962.4453125,6166241792.0,60304.53515625,78525.421875
82,6238138368.0,60872.09765625,78981.8828125,6175415808.0,61842.296875,78583.8125
83,6236880384.0,60796.203125,78973.921875,6180782080.0,61661.92578125,78617.953125
84,6252107264.0,60960.53125,79070.265625,6181748224.0,59818.4296875,78624.09375
85,6236524032.0,60872.46875,78971.6640625,6161091072.0,61351.515625,78492.6171875
86,6243913728.0,60807.171875,79018.4375,6177419776.0,61104.37109375,78596.5625
87,6228392960.0,61014.9921875,78920.171875,6186914816.0,59556.265625,78656.9453125
88,6238403584.0,60811.07421875,78983.5625,6157705216.0,60989.9609375,78471.046875
89,6217775616.0,60870.32421875,78852.875,6167401984.0,60545.5078125,78532.8046875
90,6231634944.0,60838.06640625,78940.703125,6175213568.0,61152.06640625,78582.5234375
91,6234837504.0,60887.66796875,78960.984375,6166019072.0,61793.5,78524.0
92,6218798592.0,60900.95703125,78859.359375,6173322240.0,60031.00390625,78570.4921875
93,6219062784.0,60753.28125,78861.03125,6178375168.0,62078.87109375,78602.640625
94,6248612352.0,60878.21875,79048.1640625,6151371264.0,60941.265625,78430.6796875
95,6217768448.0,60889.35546875,78852.828125,6200721408.0,59419.8125,78744.65625
96,6212001280.0,60758.82421875,78816.25,6163467776.0,60920.25,78507.7578125
97,6235000832.0,60883.21875,78962.0234375,6175036928.0,60681.7734375,78581.40625
98,6229554176.0,60943.01171875,78927.5234375,6162441216.0,60143.6875,78501.21875
99,6241390080.0,60892.734375,79002.46875,6176956928.0,60352.70703125,78593.6171875
100,6232537088.0,60892.16015625,78946.421875,6194914816.0,62600.31640625,78707.78125
101,6218892288.0,60879.04296875,78859.953125,6177624576.0,59932.22265625,78597.8671875
102,6232999936.0,60694.19140625,78949.3515625,6170907648.0,60675.80078125,78555.125
103,6226525184.0,60919.02734375,78908.3359375,6169548800.0,61606.11328125,78546.4765625
104,6225406976.0,60888.8125,78901.25,6264676864.0,58725.0546875,79149.7109375
